num,Name,Address,Postcode,Type,Latitude,Longitude,Category,Rating
1,46,46 Mott St,10013,chinese,40.71529303,-73.99864422,restaurant,4
2,886,26 Saint Marks Pl,10003,thai,40.72877,-73.98873,restaurant,3.5
3,1803,82 Reade St,10007,brunch,40.715498,-74.007178,restaurant,4
4,Feb-30,110 Macdougal St,10012,healthy,40.72960885,-74.00074185,restaurant,4
5,&pizza,15 W 28th St,10001,pizza,40.745294,-73.9880992,restaurant,4
6,&pizza,740 Broadway,10003,pizza,40.729798,-73.9926904,restaurant,4.5
7,&pizza,63 Wall St,10005,pizza,40.705765,-74.008547,restaurant,3.5
8,&pizza,63 Wall St,10005,pizza,40.70579,-74.00859,restaurant,4
9,1 or 8,66 S 2nd St,11249,japanese,40.714257,-73.965457,restaurant,4.5
10,10 Corso Como,200 Front St,10038,italian,40.707053,-74.00278,restaurant,4
11,100% Mr Lin,445 Albee Square W,11201,chinese,40.6910201,-73.9833099,restaurant,4
12,108 Food Dried Hot Pot,2794 Broadway,10025,chinese,40.80271,-73.96738,restaurant,4
13,118 Kitchen,1 E 118th St,10035,japanese,40.80195,-73.94517,restaurant,4
14,12 Chairs Cafe,342 Wythe Ave,11249,brunch,40.7145615,-73.9653168,restaurant,4.5
15,136th and Broadway Taco Cart,Broadway & W 136th St,10031,mexican,40.82081319,-73.95404958,restaurant,4
16,15 East Restaurant,15 E 15th St,10003,japanese,40.7363799,-73.99213,restaurant,4
17,16 Handles,400 Audubon Ave,10033,dessert,40.85133,-73.93063,restaurant,3.5
18,181 Cabrini,854 W 181st St,10033,brunch,40.851159,-73.940156,restaurant,3.5
19,191 Pescaderia,1609 St Nicholas Ave,10040,seafood,40.85523404,-73.92947361,restaurant,5
20,2 Bros Pizza,111 E 125th St,10035,pizza,40.805004,-73.938156,restaurant,4.5
21,2 Bros Pizza,32 St Marks Pl,10003,pizza,40.72866,-73.988487,restaurant,4
22,2 Bros Pizza,755 6th Ave,10010,pizza,40.74435255,-73.99199244,restaurant,4
23,2 Bros Pizza,557 8th Ave,10018,pizza,40.754745,-73.992004,restaurant,3
24,21 Shanghai House,21 Division St,10002,chinese,40.71401382,-73.99644549,restaurant,4
25,239 International Deli,239 E 181st St,10457,healthy,40.85443643,-73.90031095,restaurant,4.5
26,273 Kitchen,273 Halstead Ave,10528,dessert,40.96868,-73.71293,restaurant,5
27,3 ROOTS,159 Franklin St,11222,healthy,40.731858,-73.9582159,restaurant,5
28,-321Â° Ice Cream Shop,288 Grand St,11211,dessert,40.7129,-73.95779,restaurant,5
29,4 Charles Prime Rib,4 Charles St,10014,american,40.73513,-74.00065,restaurant,4.5
30,5 Burro Cafe,72-05 Austin St,11375,mexican,40.71924642,-73.84225528,restaurant,3.5
31,5ive Spice,52 5th Ave,11217,thai,40.68145923,-73.97725098,restaurant,4.5
32,750 Myrtle Diner,750 Myrtle Ave,11205,japanese,40.69486,-73.95278,restaurant,3.5
33,8 Dragon & Phoenix Restaurant,22-17 31st St,11105,chinese,40.77546783,-73.91142234,restaurant,3.5
34,8 Paet Rio,81-10 Broadway,11373,thai,40.74302182,-73.88341974,restaurant,4
35,809 Sangria Bar & Grill,112 Dyckman St,10040,seafood,40.86196,-73.9252,restaurant,5
36,82 Stanton,82 Stanton St,10002,american,40.721701,-73.988817,restaurant,4
37,87 On Walker,87 Walker St,10013,american,40.718083,-74.001456,restaurant,3.5
38,88 Chinese Restaurant,473 Malcolm X Blvd,10037,chinese,40.81335992,-73.94180239,restaurant,4.5
39,88 Lan Zhou Handmade Noodle,40 Bowery St,10013,vietnamese,40.7155,-73.99675,restaurant,4
40,8SIA,220 E 42nd St,10017,chinese,40.749954,-73.973036,restaurant,3.5
41,95 HomeDish,95 Chrystie St,10002,seafood,40.71776,-73.99422,restaurant,4
42,969 NYC Coffee,37-61 80th St,11372,japanese,40.74779,-73.88553,restaurant,4.5
43,983-Bushwick's Living Room,983 Flushing Ave,11206,american,40.703087,-73.933403,restaurant,4
44,99 Cent Fresh Pizza,473 Lexington Ave,10017,pizza,40.7537359,-73.9741563,restaurant,4
45,99 Cent Fresh Pizza,151 E 43rd St,10017,pizza,40.7517,-73.97432,restaurant,4
46,99 Cent Fresh Pizza,1723 Broadway,10019,pizza,40.76458,-73.98247,restaurant,4
47,99 Cent Fresh Pizza,143 W 40th St,10018,pizza,40.754799,-73.987272,restaurant,4.5
48,99 Cent Pizza,177 E Houston St,10002,pizza,40.72266666,-73.98837116,restaurant,4
49,99 Cents Fresh Pizza,71 2nd Ave,10003,pizza,40.7264595,-73.9895782,restaurant,4.5
50,99 Favor Taste,37 St Marks Pl,10003,korean,40.728833,-73.988094,restaurant,4
51,99 Favor Taste,285 Grand St,10002,vietnamese,40.7176199,-73.99249,restaurant,4.5
52,99 Favor Taste,732 61st St,11220,korean,40.6355691,-74.0115482,restaurant,5
53,99c Pizza,297 Broadway,11211,pizza,40.70855457,-73.95796892,restaurant,3.5
54,A A Jing,689 9th Ave,10036,vietnamese,40.762,-73.99041,restaurant,3.5
55,A Gusto Thai Bistro,1450 Fulton St,11216,thai,40.679782,-73.942825,restaurant,4.5
56,A La Mode Shoppe,360 E 55th St,10022,dessert,40.75705,-73.96422,restaurant,4.5
57,A plus Thai Place,1007 2nd Ave,10022,thai,40.757059,-73.967248,restaurant,4
58,A Saffron Thread Fresh Indian,98 Chambers St,10007,indian,40.71461,-74.00774,restaurant,4
59,A Taste of Seafood,1980 3rd Ave,10029,seafood,40.79346,-73.94362,restaurant,3.5
60,A&S Fine Foods,12B Bowman Ave,10573,italian,41.00465588,-73.67817275,restaurant,5
61,a.cafe,42 W 58th St,10019,brunch,40.76440064,-73.97569052,restaurant,4
62,Ã‘aÃ±o Ecuadorian Kitchen,691 10th Ave,10036,healthy,40.7631,-73.99335,restaurant,4
63,â€˜ritas,756 9th Ave,10019,mexican,40.76333319,-73.98879961,restaurant,4.5
64,A1 Asian Fusion,2071 7th Ave,10027,thai,40.80785,-73.94867,restaurant,4.5
65,AA Chinese Restaurant,214 E Burnside Ave,10457,chinese,40.8518199,-73.90312,restaurant,3
66,Aahar Indian Cuisine,10 Murray St,10007,indian,40.71334,-74.0081,restaurant,4
67,Aangan,2701 Broadway,10025,indian,40.799446,-73.968795,restaurant,4
68,ABC Cocina,38 E 19th St,10003,mexican,40.73796998,-73.9892807,restaurant,3.5
69,ABCV,38 E 19th St,10003,healthy,40.73790398,-73.98887401,restaurant,4
70,Abeetz,null,10605,dessert,41.0112762,-73.7419017,restaurant,4
71,Abiko Curry,2 W 32nd St,10001,vietnamese,40.74742597,-73.98621794,restaurant,4
72,Abuqir Seafood,24-19 Steinway St,11103,seafood,40.7683,-73.9110794,restaurant,4.5
73,Acapulco,1116 Manhattan Ave,11222,mexican,40.7367,-73.95517,restaurant,4.5
74,Accent Thai Kitchen,631 Mclean Ave,10705,thai,40.9091134,-73.8792337,restaurant,4
75,Acme Smoked Fish,30 Gem St,11222,seafood,40.72542,-73.95662,restaurant,3.5
76,Acqua Restaurant NYC,"21 Peck Slip, Water St",10038,italian,40.7082567,-74.001797,restaurant,4.5
77,Acuario Restaurant,163 N Main St,10573,brunch,41.00383,-73.66036,restaurant,4
78,Adda,31-31 Thomson Ave,11101,indian,40.74507,-73.93415,restaurant,4.5
79,Adella,410 W 43rd St,10036,american,40.7594098,-73.9929134,restaurant,5
80,Adrienne's Pizzabar,54 Stone St,10004,pizza,40.7043362,-74.0101733,restaurant,4
81,Adyar Ananda Bhavan,1071 1st Ave,10022,indian,40.759381,-73.962489,restaurant,3
82,Afghan Kabab and Grill House,1015 Manhattan Ave,11222,indian,40.73359,-73.95498,restaurant,3.5
83,Afghan Kebab House II,1345 2nd Ave,10021,indian,40.768066,-73.959243,restaurant,4
84,Agave,140 7th Ave S,10014,mexican,40.734767,-74.002415,restaurant,4.5
85,Agave - New York,488 3rd Ave,10016,mexican,40.734999,-74.002438,restaurant,3.5
86,Ageha Sushi,767 9th Ave,10019,japanese,40.764529,-73.988597,restaurant,4
