Address,Zip Code,Cuisine,Longitude,insertedAtTimestamp,Number of Reviews,Latitude,Open,Business_ID,Rating,Name
408 Main St,07024,korean,-73.9748638910085,06/10/2019 15:08:47,182,40.8536913813532,N/A,XjeGryxde-tQZF_Ewu7NCw,4,Gamja Tang Tang
4740 Broadway,10040,american,-73.927843119049,06/10/2019 16:03:01,368,40.8649821372469,N/A,ykXZyQBXxoOMoZfaZMnHmg,4,Tryon Public House
811 8th Ave,10019,chinese,-73.9868181646996,06/10/2019 16:17:43,964,40.7616286634162,N/A,uaFHoq-a5XqxF-bsOK9_Qg,3.5,Real Kung Fu Little Steamed Buns Ramen
110 N Main St,10573,seafood,-73.6623800066375,06/10/2019 15:12:38,150,41.0020381698712,N/A,IGBaeCme2FrJhzrFFGOfnA,3,Pollo A La Brasa Misti Restaurant
118A Eldridge St,10002,chinese,-73.9917399,06/10/2019 16:06:04,2561,40.71839,N/A,IhSVn0TaX8xXb3wcQ-fgcA,4,Vanessa's Dumpling House
1636 Palisade Ave,07024,dessert,-73.96832,06/10/2019 16:08:05,224,40.84995,N/A,C29qVHuUDyFoQQPaFOpGfQ,4,The Tea Bar
248 5th Ave,11215,italian,-73.981340475038,06/10/2019 16:12:58,877,40.675332643247,N/A,aSprnLY-6GkMk1cuv0TMeA,4,Al Di La Trattoria
Worldwide Plz,10019,mexican,-73.9876316100625,06/10/2019 16:18:01,762,40.7627155294445,N/A,x9wa2M7gvf32swUSBP3uXA,3.5,Blockheads
16 1/2 1/2 Columbia Ave E,07650,chinese,-74.0010624,06/10/2019 15:00:58,24,40.8424226,N/A,5fRh0bh2HDGYb7Lsms36vQ,4,China Moon Restaurant
28 Liberty St,10005,american,-74.0088899,06/10/2019 16:20:26,378,40.70797,N/A,ypqK8DWM8Bcs43YveSJnNw,4.5,Manhatta
249 Railroad Ave,06830,seafood,-73.63028,06/10/2019 15:12:39,68,41.0217,N/A,z4xmmDCHDKPrwKCcoZw1-w,4.5,India Avenue
6TH -7th Ave N 50th St,10019,indian,-73.9819329231977,06/10/2019 15:39:10,11,40.7604963615585,N/A,FZQ-l92qE1NqpI5lbmAM_g,3.5,Hyderabad Goat Kacchi Biryani
8716 3rd Ave,11209,indian,-74.03183,06/10/2019 16:17:04,218,40.62238,N/A,cJfbydHniqWsGL2VHVDHEg,4,Bombay Grill
1814 Bergenline Ave,07087,thai,-74.03454,06/10/2019 16:21:23,83,40.76397,N/A,4mzogOLOVDPBDVTO4cz9fA,4.5,Roi Siam
313 6th Ave,10014,chinese,-74.0018838,06/10/2019 16:10:50,78,40.730996,N/A,qu3niqEXOUdNxCCXnSPBYg,4,Xi'an Famous Foods
